,rt,rt,rt,rt,rt,rt,rt,rt,best_chosen,gaze_influence
,mean,std,min,max,se,q1,q3,iqr,mean,
subject,,,,,,,,,,
0,1235.85,301.09222424366925,706,2107,30.260907124539415,992.0,1437.25,445.25,0.73,0.22349105478856318
1,2190.09,1146.533149062861,822,7260,115.23091712564023,1465.5,2663.75,1198.25,0.75,0.25109239769382996
2,1848.837837837838,753.7186374995938,838,4506,88.21609399605693,1345.75,2083.0,737.25,0.7837837837837838,0.11382450578917845
3,1540.84,803.4044650112422,629,5797,80.7451868284395,1007.75,1793.5,785.75,0.76,0.19599278553734634
4,2210.56,762.9737914240568,874,4403,76.68175124328718,1664.5,2586.0,921.5,0.79,0.13745041439146077
5,2803.18,1207.9487520586292,1100,8489,121.40341747140963,2127.25,3336.75,1209.5,0.65,0.47532374915072023
6,5873.72,2809.8496759791265,1438,16545,282.4005179552866,3708.25,7222.0,3513.75,0.66,0.18565858841834512
7,2402.09,1249.4764030985136,887,6819,125.5771034388069,1383.25,2984.75,1601.5,0.5,0.5836166229520126
8,1006.34,202.6208883605045,625,1546,20.364165496372213,840.75,1157.0,316.25,0.73,0.2825588592351258
9,2296.1,1723.2214918576196,811,12400,173.1902763384302,1455.75,2590.75,1135.0,0.59,0.45638772490072255
10,1707.61,637.154532197645,674,3970,64.03643990224265,1260.0,2089.25,829.25,0.84,0.17020658481732848
11,1263.02,305.2952990139219,756,2220,30.683332032985998,1039.75,1433.75,394.0,0.7,0.2892645448731906
12,2055.03,784.4406855205816,787,4608,78.8392552776044,1455.75,2542.75,1087.0,0.8,0.1404572599504093
13,2199.49,949.9152856439359,1057,5825,95.47007833649118,1587.25,2501.5,914.25,0.8,0.13455906252101463
14,1449.28,337.50354309251327,894,2586,33.920382359194285,1253.25,1604.25,351.0,0.83,0.08442919339695937
15,6216.65,3706.876939891584,1886,20585,372.55515011033907,3568.75,7691.25,4122.5,0.72,0.1273908782408237
16,2447.39,2217.500461758689,644,14168,222.8671819422247,1384.25,2667.0,1282.75,0.74,0.19837805751143353
17,2755.23,971.0018625625804,1361,6834,97.58935905625216,2128.0,3265.0,1137.0,0.95,0.04659952416693494
18,1197.29,413.6086385703277,583,2952,41.569232248105926,930.75,1391.25,460.5,0.74,0.21920605273583793
19,1946.695652173913,879.7270913178062,768,5210,92.22045702819347,1266.5,2345.25,1078.75,0.6086956521739131,0.23975033786422145
20,3825.4,2730.5173319354703,1133,13545,274.42731738158375,1857.0,4649.0,2792.0,0.82,0.10091294855732766
21,1866.29,681.8032604058153,767,3862,68.52380592748683,1397.25,2196.0,798.75,0.64,0.48093767834368395
22,2703.15,1069.9645449733366,1000,6605,107.53548286848192,1912.0,3091.25,1179.25,0.59,0.2366077320502354
23,3024.2,1670.9320153734557,850,12473,167.934986217761,1810.25,3635.5,1825.25,0.73,0.1845075770775611
24,5591.02,2764.3892272254284,1640,14955,277.8315709456746,3636.75,7010.75,3374.0,0.53,0.4142308376701326
25,2083.62,1040.4018625511972,711,5637,104.56432149300701,1288.25,2697.0,1408.75,0.63,0.333006971450949
26,1442.21,470.80170549818536,733,3044,47.31735175142072,1044.0,1792.75,748.75,0.65,0.5018033492677658
27,2077.25,1088.7668839104172,839,6250,109.4251890331906,1359.0,2365.25,1006.25,0.87,0.14357676522814705
28,2910.82,1288.9824155511196,983,6664,129.54760708330392,1938.75,3574.75,1636.0,0.77,0.19352208596627063
29,1703.74,530.5530816044705,975,3548,53.32259100147995,1352.75,1877.75,525.0,0.68,0.32879132021456625
